# train_acc train_loss test_acc test_loss
1.000000000000000000e+00 1.478689568383353192e+00 1.000000000000000000e+00 1.486358940601348877e+00
1.000000000000000000e+00 1.477668677057538682e+00 1.000000000000000000e+00 1.484849154949188232e+00
1.000000000000000000e+00 1.476729273796081543e+00 1.000000000000000000e+00 1.483454644680023193e+00
1.000000000000000000e+00 1.475861464227948838e+00 1.000000000000000000e+00 1.482161343097686768e+00
1.000000000000000000e+00 1.475056852613176650e+00 1.000000000000000000e+00 1.480958759784698486e+00
1.000000000000000000e+00 1.474309137889317167e+00 1.000000000000000000e+00 1.479838252067565918e+00
1.000000000000000000e+00 1.473612529890877765e+00 1.000000000000000000e+00 1.478792250156402588e+00
1.000000000000000000e+00 1.472962498664855957e+00 1.000000000000000000e+00 1.477814495563507080e+00
1.000000000000000000e+00 1.472354599407740938e+00 1.000000000000000000e+00 1.476900041103363037e+00
1.000000000000000000e+00 1.471785272870745009e+00 1.000000000000000000e+00 1.476043760776519775e+00
1.000000000000000000e+00 1.471251606941223145e+00 1.000000000000000000e+00 1.475241422653198242e+00
1.000000000000000000e+00 1.470750434058053058e+00 1.000000000000000000e+00 1.474489629268646240e+00
1.000000000000000000e+00 1.470279421125139541e+00 1.000000000000000000e+00 1.473784506320953369e+00
1.000000000000000000e+00 1.469836337225777667e+00 1.000000000000000000e+00 1.473123729228973389e+00
1.000000000000000000e+00 1.469419326101030654e+00 1.000000000000000000e+00 1.472503662109375000e+00
1.000000000000000000e+00 1.469026259013584745e+00 1.000000000000000000e+00 1.471921861171722412e+00
1.000000000000000000e+00 1.468655858721051866e+00 1.000000000000000000e+00 1.471375882625579834e+00
1.000000000000000000e+00 1.468306132725306856e+00 1.000000000000000000e+00 1.470862925052642822e+00
1.000000000000000000e+00 1.467976042202540743e+00 1.000000000000000000e+00 1.470381081104278564e+00
1.000000000000000000e+00 1.467664156641278916e+00 1.000000000000000000e+00 1.469928026199340820e+00
1.000000000000000000e+00 1.467369215829031903e+00 1.000000000000000000e+00 1.469501614570617676e+00
1.000000000000000000e+00 1.467090010643005371e+00 1.000000000000000000e+00 1.469100356101989746e+00
1.000000000000000000e+00 1.466825604438781738e+00 1.000000000000000000e+00 1.468722164630889893e+00
1.000000000000000000e+00 1.466575247900826495e+00 1.000000000000000000e+00 1.468365490436553955e+00
1.000000000000000000e+00 1.466337970324925077e+00 1.000000000000000000e+00 1.468029618263244629e+00
1.000000000000000000e+00 1.466112835066659015e+00 1.000000000000000000e+00 1.467712402343750000e+00
1.000000000000000000e+00 1.465899569647652667e+00 1.000000000000000000e+00 1.467413485050201416e+00
1.000000000000000000e+00 1.465697237423488009e+00 1.000000000000000000e+00 1.467131018638610840e+00
1.000000000000000000e+00 1.465505191258021700e+00 1.000000000000000000e+00 1.466864347457885742e+00
1.000000000000000000e+00 1.465322698865618056e+00 1.000000000000000000e+00 1.466612398624420166e+00
1.000000000000000000e+00 1.465149368558611220e+00 1.000000000000000000e+00 1.466373920440673828e+00
